tgt,input,show_inp,ent1,ent2,id
"Entity-Destination(e1,e2)",This ENT_1_START article ENT_1_END is included into Australia 's most well respected ENT_2_START newspaper ENT_2_END .,This ENT_1_START article ENT_1_END is included into Australia 's most well respected ENT_2_START newspaper ENT_2_END .,article,newspaper,5734
"Member-Collection(e2,e1)","In one place the sea had a sweep fifteen feet of the were upturned , and a big ENT_1_START pile ENT_1_END of human ENT_2_START bones ENT_2_END was exhumed .","In one place the sea had a sweep fifteen feet of the were upturned , and a big ENT_1_START pile ENT_1_END of human ENT_2_START bones ENT_2_END was exhumed .",pile,bones,6539
"Component-Whole(e1,e2)","The ENT_1_START pages ENT_1_END of the ENT_2_START magazine ENT_2_END came to life at the Metreon with gourmet food , great Sonoma Valley wine , and jamming music .","The ENT_1_START pages ENT_1_END of the ENT_2_START magazine ENT_2_END came to life at the Metreon with gourmet food , great Sonoma Valley wine , and jamming music .",pages,magazine,1418
"Instrument-Agency(e2,e1)",The ENT_1_START outfielder ENT_1_END needs a ENT_2_START glove ENT_2_END that is large enough .,The ENT_1_START outfielder ENT_1_END needs a ENT_2_START glove ENT_2_END that is large enough .,outfielder,glove,5445
"Component-Whole(e1,e2)",They set the ENT_1_START timer ENT_1_END on the ENT_2_START cooker ENT_2_END for three minutes .,They set the ENT_1_START timer ENT_1_END on the ENT_2_START cooker ENT_2_END for three minutes .,timer,cooker,6851
Other,"The recipes are culled from various restaurant chefs , magazines and Brother Victor - Antoine d'Avila - Latourrette , a ENT_1_START monk ENT_1_END and cookbook ENT_2_START author ENT_2_END .","The recipes are culled from various restaurant chefs , magazines and Brother Victor - Antoine d'Avila - Latourrette , a ENT_1_START monk ENT_1_END and cookbook ENT_2_START author ENT_2_END .",monk,author,4529
"Component-Whole(e1,e2)","The ENT_1_START timer ENT_1_END of the ENT_2_START device ENT_2_END automatically eliminates wasted "" standby power "" consumption by automatically turn off electronics plugged into the "" auto off "" outlets .","The ENT_1_START timer ENT_1_END of the ENT_2_START device ENT_2_END automatically eliminates wasted "" standby power "" consumption by automatically turn off electronics plugged into the "" auto off "" outlets .",timer,device,30
"Entity-Origin(e2,e1)",One of my girlfriends ordered the Lomo de Puerco which was their pork chop in some ENT_1_START guava ENT_1_END ENT_2_START sauce ENT_2_END .,One of my girlfriends ordered the Lomo de Puerco which was their pork chop in some ENT_1_START guava ENT_1_END ENT_2_START sauce ENT_2_END .,guava,sauce,3841
"Component-Whole(e1,e2)",This is made possible by unscrewing the three or four screws from the ENT_1_START button ENT_1_END of the ENT_2_START mouse ENT_2_END .,This is made possible by unscrewing the three or four screws from the ENT_1_START button ENT_1_END of the ENT_2_START mouse ENT_2_END .,button,mouse,933
"Message-Topic(e2,e1)",Many ENT_1_START historical events ENT_1_END have been described through ENT_2_START music ENT_2_END and song .,Many ENT_1_START historical events ENT_1_END have been described through ENT_2_START music ENT_2_END and song .,historical events,music,5231
"Entity-Origin(e1,e2)",His son once married a ENT_1_START princess ENT_1_END descended from the Middle Eastern kingdom 's founding ENT_2_START family ENT_2_END .,His son once married a ENT_1_START princess ENT_1_END descended from the Middle Eastern kingdom 's founding ENT_2_START family ENT_2_END .,princess,family,2840
"Cause-Effect(e1,e2)",Infectious mononucleosis due to the Epstein - Barr ENT_1_START virus ENT_1_END causes exudative ENT_2_START tonsillitis ENT_2_END or pharyngitis in about one - half of cases .,Infectious mononucleosis due to the Epstein - Barr ENT_1_START virus ENT_1_END causes exudative ENT_2_START tonsillitis ENT_2_END or pharyngitis in about one - half of cases .,virus,tonsillitis,617
"Component-Whole(e1,e2)","The first bank in Loudoun County , the short - lived Loudoun Company , held meetings in the ENT_1_START cellar ENT_1_END of this ENT_2_START dwelling ENT_2_END beginning around 1815 , hence the name Bank House .","The first bank in Loudoun County , the short - lived Loudoun Company , held meetings in the ENT_1_START cellar ENT_1_END of this ENT_2_START dwelling ENT_2_END beginning around 1815 , hence the name Bank House .",cellar,dwelling,531
"Entity-Destination(e1,e2)","He stuffed the ENT_1_START letter ENT_1_END into an empty lemonade ENT_2_START bottle ENT_2_END , corked it , tossed it overboard , and forgot .","He stuffed the ENT_1_START letter ENT_1_END into an empty lemonade ENT_2_START bottle ENT_2_END , corked it , tossed it overboard , and forgot .",letter,bottle,1285
"Component-Whole(e1,e2)",Jack and Jill are lying on the ENT_1_START floor ENT_1_END inside the ENT_2_START house ENT_2_END dead .,Jack and Jill are lying on the ENT_1_START floor ENT_1_END inside the ENT_2_START house ENT_2_END dead .,floor,house,6073
"Cause-Effect(e1,e2)",Birchwood and Stockton Heath were called to the scene after ENT_1_START pyrotechnics ENT_1_END used during one of the performances caused a ENT_2_START fire ENT_2_END on the main stage .,Birchwood and Stockton Heath were called to the scene after ENT_1_START pyrotechnics ENT_1_END used during one of the performances caused a ENT_2_START fire ENT_2_END on the main stage .,pyrotechnics,fire,516
"Cause-Effect(e1,e2)","The amide - linked local ENT_1_START anesthetics ENT_1_END , bupivacaine and ropivacaine , cause ENT_2_START depression ENT_2_END of cardiac contractility and dysrhythmias .","The amide - linked local ENT_1_START anesthetics ENT_1_END , bupivacaine and ropivacaine , cause ENT_2_START depression ENT_2_END of cardiac contractility and dysrhythmias .",anesthetics,depression,6744
"Instrument-Agency(e2,e1)","In the foreground , the illustration shows a ENT_1_START sailor ENT_1_END with a ENT_2_START musket ENT_2_END standing on the shore .","In the foreground , the illustration shows a ENT_1_START sailor ENT_1_END with a ENT_2_START musket ENT_2_END standing on the shore .",sailor,musket,4269
